"Old_Name","New_Name","Date_Time",,,
"2022-01-30 14_21_43-LiveSession - upGrad.jpg","2022-01-30-14_21_43-LiveSession-upGrad.jpg","2022-01-30-14","- image: 2022-01-30-14_21_43-LiveSession-upGrad.jpg",68,"- image: 2022-01-30-14_21_43-LiveSession-upGrad.jpg"
"2022-01-30 14_21_48-LiveSession - upGrad.jpg","2022-01-30-14_21_48-LiveSession-upGrad.jpg","2022-01-30-14","- image: 2022-01-30-14_21_48-LiveSession-upGrad.jpg",69,"- image: 2022-01-30-14_21_48-LiveSession-upGrad.jpg"
"2022-01-30 16_36_13-LiveSession - upGrad.jpg","2022-01-30-16_36_13-LiveSession-upGrad.jpg","2022-01-30-16","- image: 2022-01-30-16_36_13-LiveSession-upGrad.jpg",70,"- image: 2022-01-30-16_36_13-LiveSession-upGrad.jpg"
"2022-01-30 16_36_34-LiveSession - upGrad.jpg","2022-01-30-16_36_34-LiveSession-upGrad.jpg","2022-01-30-16","- image: 2022-01-30-16_36_34-LiveSession-upGrad.jpg",71,"- image: 2022-01-30-16_36_34-LiveSession-upGrad.jpg"
"2022-01-30 16_41_35-LiveSession - upGrad.jpg","2022-01-30-16_41_35-LiveSession-upGrad.jpg","2022-01-30-16","- image: 2022-01-30-16_41_35-LiveSession-upGrad.jpg",72,"- image: 2022-01-30-16_41_35-LiveSession-upGrad.jpg"
"2022-02-05 13_57_56-LiveSession - upGrad.jpg","2022-02-05-13_57_56-LiveSession-upGrad.jpg","2022-02-05-13","- image: 2022-02-05-13_57_56-LiveSession-upGrad.jpg",73,"- image: 2022-02-05-13_57_56-LiveSession-upGrad.jpg"
"2022-02-05 18_14_54-LiveSession - upGrad.jpg","2022-02-05-18_14_54-LiveSession-upGrad.jpg","2022-02-05-18","- image: 2022-02-05-18_14_54-LiveSession-upGrad.jpg",74,"- image: 2022-02-05-18_14_54-LiveSession-upGrad.jpg"
"2022-02-05 18_15_02-LiveSession - upGrad.jpg","2022-02-05-18_15_02-LiveSession-upGrad.jpg","2022-02-05-18","- image: 2022-02-05-18_15_02-LiveSession-upGrad.jpg",75,"- images: - image: 2022-02-05-18_15_02-LiveSession-upGrad.jpg"
"2022-02-05 18_31_19-LiveSession - upGrad.jpg","2022-02-05-18_31_19-LiveSession-upGrad.jpg","2022-02-05-18","- image: 2022-02-05-18_31_19-LiveSession-upGrad.jpg",76,"- image: 2022-02-05-18_31_19-LiveSession-upGrad.jpg"
"2022-02-05 18_31_29-LiveSession - upGrad.jpg","2022-02-05-18_31_29-LiveSession-upGrad.jpg","2022-02-05-18","- image: 2022-02-05-18_31_29-LiveSession-upGrad.jpg",77,"- image: 2022-02-05-18_31_29-LiveSession-upGrad.jpg"
"2022-02-05 19_01_49-LiveSession - upGrad.jpg","2022-02-05-19_01_49-LiveSession-upGrad.jpg","2022-02-05-19","- image: 2022-02-05-19_01_49-LiveSession-upGrad.jpg",78,"- image: 2022-02-05-19_01_49-LiveSession-upGrad.jpg"
"2022-02-06 14_15_17-LiveSession - upGrad.jpg","2022-02-06-14_15_17-LiveSession-upGrad.jpg","2022-02-06-14","- image: 2022-02-06-14_15_17-LiveSession-upGrad.jpg",79,"- image: 2022-02-06-14_15_17-LiveSession-upGrad.jpg"
"2022-02-06 14_15_21-LiveSession - upGrad.jpg","2022-02-06-14_15_21-LiveSession-upGrad.jpg","2022-02-06-14","- image: 2022-02-06-14_15_21-LiveSession-upGrad.jpg",80,"- image: 2022-02-06-14_15_21-LiveSession-upGrad.jpg"
"2022-02-06 15_13_16-LiveSession - upGrad.jpg","2022-02-06-15_13_16-LiveSession-upGrad.jpg","2022-02-06-15","- image: 2022-02-06-15_13_16-LiveSession-upGrad.jpg",81,"- image: 2022-02-06-15_13_16-LiveSession-upGrad.jpg"
"2022-02-06 16_31_21-LiveSession - upGrad.jpg","2022-02-06-16_31_21-LiveSession-upGrad.jpg","2022-02-06-16","- image: 2022-02-06-16_31_21-LiveSession-upGrad.jpg",82,"- image: 2022-02-06-16_31_21-LiveSession-upGrad.jpg"
"2022-02-06 16_40_58-LiveSession - upGrad.jpg","2022-02-06-16_40_58-LiveSession-upGrad.jpg","2022-02-06-16","- image: 2022-02-06-16_40_58-LiveSession-upGrad.jpg",83,"- image: 2022-02-06-16_40_58-LiveSession-upGrad.jpg"
"2022-02-12 13_46_34-LiveSession - upGrad.jpg","2022-02-12-13_46_34-LiveSession-upGrad.jpg","2022-02-12-13","- image: 2022-02-12-13_46_34-LiveSession-upGrad.jpg",84,"- image: 2022-02-12-13_46_34-LiveSession-upGrad.jpg"
"2022-02-12 13_51_49.jpg","2022-02-12-13_51_49.jpg","2022-02-12-13","- image: 2022-02-12-13_51_49.jpg",85,"- image: 2022-02-12-13_51_49.jpg"
"2022-02-12 18_47_44-LiveSession - upGrad.jpg","2022-02-12-18_47_44-LiveSession-upGrad.jpg","2022-02-12-18","- image: 2022-02-12-18_47_44-LiveSession-upGrad.jpg",86,"- image: 2022-02-12-18_47_44-LiveSession-upGrad.jpg"
"2022-02-12 18_48_00-LiveSession - upGrad.jpg","2022-02-12-18_48_00-LiveSession-upGrad.jpg","2022-02-12-18","- image: 2022-02-12-18_48_00-LiveSession-upGrad.jpg",87,"- image: 2022-02-12-18_48_00-LiveSession-upGrad.jpg"
"2022-02-20 14_15_23-LiveSession - upGrad.jpg","2022-02-20-14_15_23-LiveSession-upGrad.jpg","2022-02-20-14","- image: 2022-02-20-14_15_23-LiveSession-upGrad.jpg",88,"- image: 2022-02-20-14_15_23-LiveSession-upGrad.jpg"
"2022-02-20 14_15_33-LiveSession - upGrad.jpg","2022-02-20-14_15_33-LiveSession-upGrad.jpg","2022-02-20-14","- image: 2022-02-20-14_15_33-LiveSession-upGrad.jpg",89,"- image: 2022-02-20-14_15_33-LiveSession-upGrad.jpg"
"2022-02-20 16_45_41-LiveSession - upGrad.jpg","2022-02-20-16_45_41-LiveSession-upGrad.jpg","2022-02-20-16","- image: 2022-02-20-16_45_41-LiveSession-upGrad.jpg",90,"- images: - image: 2022-02-20-16_45_41-LiveSession-upGrad.jpg"
"2022-02-26 14_14_14-LiveSession - upGrad.jpg","2022-02-26-14_14_14-LiveSession-upGrad.jpg","2022-02-26-14","- image: 2022-02-26-14_14_14-LiveSession-upGrad.jpg",91,"- image: 2022-02-26-14_14_14-LiveSession-upGrad.jpg"
"2022-02-26 14_24_39-LiveSession - upGrad.jpg","2022-02-26-14_24_39-LiveSession-upGrad.jpg","2022-02-26-14","- image: 2022-02-26-14_24_39-LiveSession-upGrad.jpg",92,"- image: 2022-02-26-14_24_39-LiveSession-upGrad.jpg"
"2022-02-26 21_45_00-LiveSession - upGrad.jpg","2022-02-26-21_45_00-LiveSession-upGrad.jpg","2022-02-26-21","- image: 2022-02-26-21_45_00-LiveSession-upGrad.jpg",93,"- image: 2022-02-26-21_45_00-LiveSession-upGrad.jpg"
"2022-02-27 19_06_20-LiveSession - upGrad.jpg","2022-02-27-19_06_20-LiveSession-upGrad.jpg","2022-02-27-19","- image: 2022-02-27-19_06_20-LiveSession-upGrad.jpg",94,"- image: 2022-02-27-19_06_20-LiveSession-upGrad.jpg"
"2022-02-27 19_24_11.jpg","2022-02-27-19_24_11.jpg","2022-02-27-19","- image: 2022-02-27-19_24_11.jpg",95,"- image: 2022-02-27-19_24_11.jpg"
"2022-03-05 11_13_02-LiveSession - upGrad.jpg","2022-03-05-11_13_02-LiveSession-upGrad.jpg","2022-03-05-11","- image: 2022-03-05-11_13_02-LiveSession-upGrad.jpg",96,"- image: 2022-03-05-11_13_02-LiveSession-upGrad.jpg"
"2022-03-05 11_13_11-LiveSession - upGrad.jpg","2022-03-05-11_13_11-LiveSession-upGrad.jpg","2022-03-05-11","- image: 2022-03-05-11_13_11-LiveSession-upGrad.jpg",97,"- image: 2022-03-05-11_13_11-LiveSession-upGrad.jpg"
"2022-03-06 14_02_40-LiveSession - upGrad.jpg","2022-03-06-14_02_40-LiveSession-upGrad.jpg","2022-03-06-14","- image: 2022-03-06-14_02_40-LiveSession-upGrad.jpg",98,"- image: 2022-03-06-14_02_40-LiveSession-upGrad.jpg"
"2022-03-06 16_41_03-LiveSession - upGrad.jpg","2022-03-06-16_41_03-LiveSession-upGrad.jpg","2022-03-06-16","- image: 2022-03-06-16_41_03-LiveSession-upGrad.jpg",99,"- image: 2022-03-06-16_41_03-LiveSession-upGrad.jpg"
"2022-03-06 19_06_14-LiveSession - upGrad.jpg","2022-03-06-19_06_14-LiveSession-upGrad.jpg","2022-03-06-19","- image: 2022-03-06-19_06_14-LiveSession-upGrad.jpg",100,"- image: 2022-03-06-19_06_14-LiveSession-upGrad.jpg"
"2022-03-06 19_06_22-LiveSession - upGrad.jpg","2022-03-06-19_06_22-LiveSession-upGrad.jpg","2022-03-06-19","- image: 2022-03-06-19_06_22-LiveSession-upGrad.jpg",101,"- image: 2022-03-06-19_06_22-LiveSession-upGrad.jpg"
"2022-03-06 19_22_52-LiveSession - upGrad.jpg","2022-03-06-19_22_52-LiveSession-upGrad.jpg","2022-03-06-19","- image: 2022-03-06-19_22_52-LiveSession-upGrad.jpg",102,"- image: 2022-03-06-19_22_52-LiveSession-upGrad.jpg"
"2022-03-06 19_22_58-LiveSession - upGrad.jpg","2022-03-06-19_22_58-LiveSession-upGrad.jpg","2022-03-06-19","- image: 2022-03-06-19_22_58-LiveSession-upGrad.jpg",103,"- image: 2022-03-06-19_22_58-LiveSession-upGrad.jpg"
"2022-03-12 14_08_49-LiveSession - upGrad.jpg","2022-03-12-14_08_49-LiveSession-upGrad.jpg","2022-03-12-14","- image: 2022-03-12-14_08_49-LiveSession-upGrad.jpg",104,"- image: 2022-03-12-14_08_49-LiveSession-upGrad.jpg"
